# DEPTH(m)    AC_TDR_CORRECTED(us/ft)    RHO_TDR_CORRECTED(kg/m3)
678.9941 88.982748 2892.096888
679.0941 88.982748 2892.096888
679.1942 87.626934 2892.096888
679.2941 86.218301 2892.096888
679.3941 84.756903 2892.096888
679.4941 83.241295 2892.096888
679.5941 81.672191 2892.096888
679.6942 80.048760 2892.096888
679.7941 78.372645 2892.096888
679.8941 76.643898 2892.096888
679.9941 74.860807 2892.096888
680.0941 73.024220 2892.096888
680.1942 79.596865 2666.469748
680.2941 77.653267 2666.469748
680.3941 75.657171 2666.469748
680.4941 73.606597 2666.469748
680.5941 71.502527 2666.469748
680.6942 69.343864 2666.469748
680.7941 67.177783 2665.928117
680.8941 65.120337 2663.455650
680.9941 62.985281 2661.268820
681.0941 60.761728 2659.506783
681.1942 58.561448 2656.827319
681.2941 56.809964 2652.281913
681.3941 56.932200 2646.683398
681.4941 57.236759 2642.108781
681.5941 57.148821 2642.108781
681.6942 57.064347 2642.108781
681.7941 56.630420 2646.184740
681.8941 56.081036 2651.684255
681.9941 55.620116 2656.236338
682.0941 55.549701 2656.236338
682.1942 55.482757 2656.236338
682.2941 55.439352 2656.000130
682.3941 55.538481 2654.125999
682.4941 55.570084 2653.091582
682.5941 55.517191 2653.091582
682.6942 55.467778 2653.091582
682.7941 55.262895 2654.962058
682.8941 55.014538 2657.395281
682.9941 54.778662 2659.732664
683.0941 54.606291 2661.364231
683.1942 54.574410 2661.364231
683.2941 54.546049 2661.364231
683.3941 54.570205 2660.780103
683.4941 54.651852 2659.554329
683.5941 54.715003 2658.592351
683.6942 54.700653 2658.592351
683.7941 54.689814 2658.592351
683.8941 54.644483 2659.043433
683.9941 54.532652 2660.327547
684.0941 54.392325 2661.996766
684.1942 54.235506 2663.910874
684.2941 54.087189 2665.771748
684.3941 53.977372 2667.216898
684.4941 53.991063 2667.216898
684.5941 54.008258 2667.216898
684.6942 54.121970 2666.096565
684.7941 54.325175 2663.946829
684.8941 54.561871 2661.447731
684.9941 54.766084 2659.387937
685.0941 54.896802 2658.248362
685.1942 55.060044 2656.768192
685.2941 55.501772 2652.059178
685.3941 56.496981 2641.040154
685.4941 58.143716 2623.008750
685.5941 60.260956 2600.590182
685.6942 62.304729 2579.883630
685.7941 62.628979 2577.185030
685.8941 62.691702 2577.185030
