time_i_s,time_j_s,signed_correlation,absolute_correlation
1.1320000000000001,1.1320000000000001,1.0000000000000002,1.0000000000000002
1.1320000000000001,1.27,0.8455974933178251,0.8455974933178251
1.1320000000000001,1.659,0.6109415104645749,0.6109415104645749
1.1320000000000001,2.428,0.23233924514922955,0.23233924514922955
1.1320000000000001,2.577,0.1748411008613165,0.1748411008613165
1.27,1.1320000000000001,0.8455974933178251,0.8455974933178251
1.27,1.27,1.0000000000000002,1.0000000000000002
1.27,1.659,0.6367169437649792,0.6367169437649792
1.27,2.428,0.4553742157310512,0.4553742157310512
1.27,2.577,0.2971672498393705,0.2971672498393705
1.659,1.1320000000000001,0.6109415104645749,0.6109415104645749
1.659,1.27,0.6367169437649792,0.6367169437649792
1.659,1.659,1.0,1.0
1.659,2.428,0.4007921817045458,0.4007921817045458
1.659,2.577,0.5574549627971773,0.5574549627971773
2.428,1.1320000000000001,0.23233924514922955,0.23233924514922955
2.428,1.27,0.4553742157310512,0.4553742157310512
2.428,1.659,0.4007921817045458,0.4007921817045458
2.428,2.428,1.0,1.0
2.428,2.577,0.6886743025380397,0.6886743025380397
2.577,1.1320000000000001,0.1748411008613165,0.1748411008613165
2.577,1.27,0.2971672498393705,0.2971672498393705
2.577,1.659,0.5574549627971773,0.5574549627971773
2.577,2.428,0.6886743025380397,0.6886743025380397
2.577,2.577,1.0,1.0
